[RESOLVIDO] Serviço: CFY-HubAg-Chat-TRT | Início: 2026-01-27 11:05:46 | Fim: 2026-01-27 11:06:16 | Duração: 0m | Trigger: "CFY-HubAg-Chat-TRT" (CFY-HubAg-Chat-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Chat-TRT | Início: 2026-01-27 11:10:16 | Fim: 2026-01-27 11:10:46 | Duração: 0m | Trigger: "CFY-HubAg-Chat-TRT" (CFY-HubAg-Chat-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Email-TRT | Início: 2025-12-30 16:49:40 | Fim: 2025-12-30 16:50:40 | Duração: 1m | Trigger: "CFY-HubAg-Email-TRT" (CFY-HubAg-Email-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Roteamento-TRT | Início: 2026-01-07 19:55:42 | Fim: 2026-01-07 19:56:12 | Duração: 0m | Trigger: "CFY-HubAg-Roteamento-TRT" (CFY-HubAg-Roteamento-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Roteamento-TRT | Início: 2026-01-07 20:03:42 | Fim: 2026-01-07 20:04:42 | Duração: 1m | Trigger: "CFY-HubAg-Roteamento-TRT" (CFY-HubAg-Roteamento-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Roteamento-TRT | Início: 2026-01-07 20:13:12 | Fim: 2026-01-07 20:14:12 | Duração: 1m | Trigger: "CFY-HubAg-Roteamento-TRT" (CFY-HubAg-Roteamento-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Roteamento-TRT | Início: 2026-01-14 10:14:42 | Fim: 2026-01-14 10:15:12 | Duração: 0m | Trigger: "CFY-HubAg-Roteamento-TRT" (CFY-HubAg-Roteamento-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Ura-TRT | Início: 2026-01-07 19:55:39 | Fim: 2026-01-07 19:56:09 | Duração: 0m | Trigger: "CFY-HubAg-Ura-TRT" (CFY-HubAg-Ura-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Ura-TRT | Início: 2026-01-07 20:03:39 | Fim: 2026-01-07 20:04:39 | Duração: 1m | Trigger: "CFY-HubAg-Ura-TRT" (CFY-HubAg-Ura-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Ura-TRT | Início: 2026-01-07 20:12:39 | Fim: 2026-01-07 20:14:09 | Duração: 1m | Trigger: "CFY-HubAg-Ura-TRT" (CFY-HubAg-Ura-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Ura-TRT | Início: 2026-01-14 10:14:39 | Fim: 2026-01-14 10:15:09 | Duração: 0m | Trigger: "CFY-HubAg-Ura-TRT" (CFY-HubAg-Ura-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Whatsapp-TRT | Início: 2026-01-13 09:00:41 | Fim: 2026-01-13 09:05:11 | Duração: 4m | Trigger: "CFY-HubAg-Whatsapp-TRT" (CFY-HubAg-Whatsapp-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-HubAg-Whatsapp-TRT | Início: 2026-01-13 10:38:41 | Fim: 2026-01-13 10:39:41 | Duração: 1m | Trigger: "CFY-HubAg-Whatsapp-TRT" (CFY-HubAg-Whatsapp-TRT) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-TRT-OUVIDORIA | Início: 2025-12-30 16:57:25 | Fim: 2025-12-30 16:59:55 | Duração: 2m | Trigger: "CFY-URA-TRT-OUVIDORIA" (CFY-URA-TRT-OUVIDORIA) is not running (startup type automatic delayed)
[RESOLVIDO] Serviço: CFY-URA-TRT-STI | Início: 2026-01-13 15:47:40 | Fim: 2026-01-13 16:22:40 | Duração: 35m | Trigger: "CFY-URA-TRT-STI" (CFY-URA-TRT-STI) is not running (startup type automatic delayed)
